Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,0,8.8,0
1,-0.00544596,-0.003004437,8.8,0
2,-0.01296758,-0.004737295,8.8,0
3,-0.02012929,-0.00157397,8.8,0
4,-0.02373294,0.003029172,8.8,0
5,-0.02211515,0.004037747,8.8,0
6,-0.0184405,0.00128583,8.8,0
7,-0.01651243,-0.001236624,8.8,0
8,-0.01464382,-0.003004063,8.8,0
9,-0.0111395,-0.00524209,8.8,0
10,-0.01085104,-0.00707785,8.8,0
11,-0.007175559,-0.008840929,8.8,0
12,-0.002541252,-0.01071874,8.8,0
13,0.004888436,-0.01294825,8.8,0
14,0.01195996,-0.01595598,8.8,0
15,0.01329871,-0.02039514,8.8,0
16,0.02438774,-0.0230503,8.8,0
17,0.03545747,-0.0252596,8.8,0
18,0.04266121,-0.02837513,8.8,0
19,0.05461792,-0.03110555,8.8,0
20,0.06385475,-0.03153907,8.8,0
21,0.07179853,-0.03094938,8.8,0
22,0.07868434,-0.03303377,8.8,0
23,0.08790126,-0.03615654,8.8,0
24,0.09601568,-0.03740488,8.8,0
25,0.1050139,-0.03274273,8.8,0
26,0.1137881,-0.03207218,8.8,0
27,0.1218538,-0.03403315,8.8,0
28,0.1270955,-0.03546098,8.8,0
29,0.1368832,-0.03566848,8.8,0
30,0.1523904,-0.03250126,8.8,0
31,0.1669902,-0.0266453,8.8,0
32,0.1798926,-0.02497016,8.8,0
33,0.1921075,-0.02151548,8.8,0
34,0.2058714,-0.01686559,8.8,0
35,0.2190904,-0.01215989,8.8,0
36,0.2273774,-0.01040041,8.8,0
37,0.2374468,-0.006276622,8.8,0
38,0.2508725,-0.0005119056,8.8,0
39,0.263682,0.005002977,8.8,0
40,0.2793289,0.01059072,8.8,0
41,0.2935839,0.01544399,8.8,0
42,0.3145081,0.02400378,8.8,0
43,0.3346925,0.02778938,8.8,0
44,0.3539647,0.03139114,8.8,0
45,0.3754207,0.03304425,8.8,0
46,0.395212,0.03388177,8.8,0
47,0.4170831,0.03667732,8.8,0
48,0.4380122,0.03538826,8.8,0
49,0.4583867,0.03476138,8.8,0
50,0.4774591,0.03180608,8.8,0
51,0.4990272,0.03030158,8.8,0
52,0.5247773,0.02957626,8.8,0
53,0.552857,0.02575754,8.8,0
54,0.5736582,0.02116621,8.8,0
55,0.5931882,0.01819806,8.8,0
56,0.6154839,0.01562775,8.8,0
57,0.6395599,0.01573603,8.8,0
58,0.6631295,0.009607825,8.8,0
59,0.6849299,0.001642197,8.8,0
60,0.7071173,-0.007029838,8.8,0
61,0.730834,-0.01526786,8.8,0
62,0.7543862,-0.0218116,8.8,0
63,0.7781407,-0.03023487,8.8,0
64,0.7992775,-0.03265752,8.8,0
65,0.8195372,-0.0361302,8.8,0
66,0.8437507,-0.04136799,8.8,0
67,0.8620259,-0.04320418,8.8,0
68,0.8769866,-0.04853225,8.8,0
69,0.8940536,-0.05230236,8.8,0
70,0.910786,-0.05057342,8.8,0
71,0.9304661,-0.05082359,8.8,0
72,0.9513063,-0.05322212,8.8,0
73,0.9756421,-0.05643897,8.8,0
74,0.9988151,-0.05331166,8.8,0
75,1.022275,-0.05155096,8.8,0
76,1.042325,-0.04918641,8.8,0
77,1.060954,-0.04658661,8.8,0
78,1.082205,-0.04796535,8.8,0
79,1.10164,-0.04976438,8.8,0
80,1.122978,-0.04782332,8.8,0
81,1.150331,-0.04609558,8.8,0
82,1.175475,-0.04554712,8.8,0
83,1.202979,-0.04591262,8.8,0
84,1.229811,-0.0433052,8.8,0
85,1.260658,-0.04083389,8.8,0
86,1.294863,-0.03476845,8.8,0
87,1.322029,-0.03415249,8.8,0
88,1.346734,-0.03009829,8.8,0
89,1.369501,-0.0262134,8.8,0
90,1.391075,-0.02416393,8.8,0
91,1.417588,-0.01959424,8.8,0
92,1.442474,-0.01802857,8.8,0
93,1.470162,-0.01741545,8.8,0
94,1.495785,-0.01708044,8.8,0
95,1.522495,-0.01389739,8.8,0
96,1.548739,-0.009617616,8.8,0
97,1.576905,-0.008665822,8.8,0
98,1.605122,-0.006803485,8.8,0
99,1.633802,-0.002924517,8.8,0
100,1.657484,-0.0001433494,8.8,0
101,1.680779,0.0006571442,8.8,0
102,1.710761,-0.001725698,8.8,0
103,1.736214,-0.002867194,8.8,0
104,1.763736,-0.003739854,8.8,0
105,1.795994,-0.007974217,8.8,0
106,1.828326,-0.01048704,8.8,0
107,1.860996,-0.01540205,8.8,0
108,1.888821,-0.01957276,8.8,0
109,1.917544,-0.02524498,8.8,0
110,1.945307,-0.03310958,8.8,0
111,1.978286,-0.0400164,8.8,0
112,2.011672,-0.047001,8.8,0
113,2.04478,-0.05382968,8.8,0
114,2.076979,-0.06110672,8.8,0
115,2.106155,-0.06915672,8.8,0
116,2.133312,-0.07578874,8.8,0
117,2.161059,-0.07793031,8.8,0
118,2.186395,-0.08186708,8.8,0
119,2.209479,-0.08263956,8.8,0
120,2.234935,-0.08643057,8.8,0
121,2.262031,-0.08799972,8.8,0
122,2.287298,-0.0864597,8.8,0
123,2.308298,-0.08571624,8.8,0
124,2.334135,-0.0889809,8.8,0
125,2.355075,-0.09240872,8.8,0
126,2.378492,-0.09389206,8.8,0
127,2.402332,-0.09429242,8.8,0
128,2.427217,-0.09311559,8.8,0
129,2.454806,-0.09260572,8.8,0
130,2.480116,-0.08913976,8.8,0
131,2.504416,-0.08790991,8.8,0
132,2.530085,-0.08456413,8.8,0
133,2.557149,-0.07989638,8.8,0
134,2.586615,-0.07437796,8.8,0
135,2.61579,-0.06939713,8.8,0
136,2.647484,-0.06326357,8.8,0
137,2.679261,-0.05962802,8.8,0
138,2.706168,-0.055464,8.8,0
139,2.738018,-0.05040115,8.8,0
140,2.766765,-0.04486775,8.8,0
141,2.794209,-0.03845594,8.8,0
142,2.824536,-0.03252494,8.8,0
143,2.850079,-0.02863807,8.8,0
144,2.881378,-0.02490642,8.8,0
145,2.909914,-0.02315482,8.8,0
146,2.935035,-0.01996432,8.8,0
147,2.959525,-0.01576941,8.8,0
148,2.984246,-0.01164314,8.8,0
149,3.006168,-0.005658142,8.8,0
150,3.031564,-0.0004465492,8.8,0
151,3.057104,0.004026516,8.8,0
152,3.07944,0.00897292,8.8,0
153,3.106216,0.01074627,8.8,0
154,3.132777,0.01189875,8.8,0
155,3.163119,0.01425415,8.8,0
156,3.195085,0.01539024,8.8,0
157,3.229723,0.01502435,8.8,0
158,3.263914,0.01041339,8.8,0
159,3.291766,0.005723084,8.8,0
160,3.322234,0.0009750975,8.8,0
161,3.351458,-0.005689182,8.8,0
162,3.380367,-0.01291317,8.8,0
163,3.412251,-0.01861693,8.8,0
164,3.441852,-0.0234057,8.8,0
165,3.474506,-0.02896342,8.8,0
166,3.510837,-0.03639457,8.8,0
167,3.542937,-0.04217433,8.8,0
168,3.57556,-0.04440218,8.8,0
169,3.605015,-0.04402234,8.8,0
170,3.632302,-0.04705606,8.8,0
171,3.661936,-0.05223297,8.8,0
172,3.681668,-0.05581601,8.8,0
173,3.70432,-0.05518631,8.8,0
174,3.728102,-0.05604587,8.8,0
175,3.748205,-0.05824169,8.8,0
176,3.768831,-0.05938365,8.8,0
177,3.795405,-0.05801144,8.8,0
178,3.821358,-0.05820033,8.8,0
179,3.8466,-0.0567253,8.8,0
180,3.869359,-0.05457516,8.8,0
181,3.895195,-0.05350387,8.8,0
182,3.915675,-0.05251959,8.8,0
183,3.937283,-0.05219544,8.8,0
184,3.960451,-0.05061731,8.8,0
185,3.988961,-0.04844866,8.8,0
186,4.011697,-0.04638478,8.8,0
187,4.036073,-0.04517707,8.8,0
188,4.06456,-0.04444196,8.8,0
189,4.097187,-0.03958178,8.8,0
190,4.122043,-0.03594291,8.8,0
191,4.149583,-0.03159611,8.8,0
