Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,-1,11,0
1,-0.01354244,-1.001975,11,0
2,-0.02100802,-1.000639,11,0
3,-0.02115008,-0.9973831,11,0
4,-0.0176764,-0.99591,11,0
5,-0.01555334,-0.9946688,11,0
6,-0.01862198,-0.9959816,11,0
7,-0.01853623,-0.9985492,11,0
8,-0.01706104,-0.9974296,11,0
9,-0.01634837,-0.9944677,11,0
10,-0.01527855,-0.9939939,11,0
11,-0.0155704,-0.9953076,11,0
12,-0.01295426,-0.9960611,11,0
13,-0.00800956,-0.9954605,11,0
14,0.001422234,-0.995342,11,0
15,0.005390931,-0.9965206,11,0
16,0.007761518,-0.9967493,11,0
17,0.0172461,-0.9983273,11,0
18,0.02418099,-1.000461,11,0
19,0.03185176,-1.005145,11,0
20,0.0412412,-1.008475,11,0
21,0.05558562,-1.014284,11,0
22,0.06638259,-1.018234,11,0
23,0.07333322,-1.025363,11,0
24,0.07983474,-1.031025,11,0
25,0.08831961,-1.038636,11,0
26,0.09966563,-1.045516,11,0
27,0.109149,-1.051073,11,0
28,0.1222471,-1.05908,11,0
29,0.1355325,-1.067576,11,0
30,0.1509767,-1.071608,11,0
31,0.1644669,-1.076309,11,0
32,0.1782353,-1.082369,11,0
33,0.1866423,-1.084846,11,0
34,0.2044719,-1.090322,11,0
35,0.2170345,-1.093073,11,0
36,0.2225146,-1.093165,11,0
37,0.2299132,-1.097992,11,0
38,0.2411664,-1.103918,11,0
39,0.2587265,-1.109018,11,0
40,0.2808338,-1.114238,11,0
41,0.3015213,-1.115448,11,0
42,0.3138952,-1.112394,11,0
43,0.3273369,-1.112378,11,0
44,0.3418951,-1.113374,11,0
45,0.3585885,-1.114942,11,0
46,0.3725784,-1.117289,11,0
47,0.385173,-1.118174,11,0
48,0.3983322,-1.11915,11,0
49,0.4124748,-1.116979,11,0
50,0.4332973,-1.114273,11,0
51,0.4549727,-1.110584,11,0
52,0.4766573,-1.108273,11,0
53,0.5038427,-1.10854,11,0
54,0.5333408,-1.106869,11,0
55,0.5636268,-1.103045,11,0
56,0.5927057,-1.098024,11,0
57,0.6231347,-1.09848,11,0
58,0.6485699,-1.101929,11,0
59,0.6733878,-1.099973,11,0
60,0.6908448,-1.097428,11,0
61,0.7093254,-1.095386,11,0
62,0.7359031,-1.089427,11,0
63,0.7638406,-1.087281,11,0
64,0.7903063,-1.082837,11,0
65,0.8201571,-1.080671,11,0
66,0.848325,-1.074432,11,0
67,0.8738966,-1.068799,11,0
68,0.9012361,-1.064051,11,0
69,0.9304456,-1.061839,11,0
70,0.9596897,-1.058218,11,0
71,0.9857586,-1.057199,11,0
72,1.019134,-1.058329,11,0
73,1.053529,-1.061619,11,0
74,1.082837,-1.06357,11,0
75,1.110678,-1.066526,11,0
76,1.141654,-1.068665,11,0
77,1.175606,-1.071555,11,0
78,1.209703,-1.075525,11,0
79,1.242274,-1.080989,11,0
80,1.276984,-1.083714,11,0
81,1.306665,-1.086103,11,0
82,1.336699,-1.089777,11,0
83,1.371004,-1.094014,11,0
84,1.402544,-1.092776,11,0
85,1.4309,-1.093058,11,0
86,1.457261,-1.095465,11,0
87,1.481713,-1.097349,11,0
88,1.506313,-1.099679,11,0
89,1.531873,-1.100004,11,0
90,1.555708,-1.099692,11,0
91,1.574747,-1.100249,11,0
92,1.596626,-1.100515,11,0
93,1.616958,-1.101745,11,0
94,1.641198,-1.103562,11,0
95,1.668957,-1.100219,11,0
96,1.69563,-1.100441,11,0
97,1.723356,-1.100539,11,0
98,1.749173,-1.097606,11,0
99,1.773302,-1.097627,11,0
100,1.798161,-1.095715,11,0
101,1.822432,-1.090967,11,0
102,1.84683,-1.089235,11,0
103,1.874519,-1.086186,11,0
104,1.904337,-1.078745,11,0
105,1.933141,-1.072508,11,0
106,1.965648,-1.063071,11,0
107,2.000263,-1.054102,11,0
108,2.031572,-1.049554,11,0
109,2.062003,-1.045377,11,0
110,2.094039,-1.04005,11,0
111,2.121001,-1.035241,11,0
112,2.144527,-1.029791,11,0
113,2.17303,-1.026989,11,0
114,2.1985,-1.022786,11,0
115,2.223334,-1.01821,11,0
116,2.253245,-1.007213,11,0
117,2.286578,-0.9984123,11,0
118,2.315509,-0.990078,11,0
119,2.343068,-0.9825359,11,0
120,2.368675,-0.9760971,11,0
121,2.393577,-0.9748558,11,0
122,2.421678,-0.971451,11,0
123,2.449784,-0.9699841,11,0
124,2.47967,-0.9679413,11,0
125,2.511407,-0.9671979,11,0
126,2.543313,-0.9671132,11,0
127,2.571219,-0.967145,11,0
128,2.597674,-0.9696993,11,0
129,2.630838,-0.9718896,11,0
130,2.665599,-0.9753167,11,0
131,2.705351,-0.9787377,11,0
132,2.738829,-0.9819202,11,0
133,2.77063,-0.9868873,11,0
134,2.802004,-0.9911001,11,0
135,2.834,-0.9948087,11,0
136,2.865996,-0.995571,11,0
137,2.896379,-0.997348,11,0
138,2.923567,-0.9996657,11,0
139,2.944043,-0.9983481,11,0
140,2.973532,-0.9995506,11,0
141,2.994141,-1.001898,11,0
142,3.015991,-1.006862,11,0
143,3.03837,-1.007531,11,0
144,3.060306,-1.010358,11,0
145,3.085358,-1.007652,11,0
146,3.113018,-1.007548,11,0
147,3.136013,-1.007809,11,0
148,3.166172,-1.006554,11,0
149,3.192727,-1.002402,11,0
150,3.214503,-0.9961569,11,0
151,3.237118,-0.9896696,11,0
152,3.2637,-0.9833834,11,0
153,3.288687,-0.9771117,11,0
154,3.310977,-0.9716443,11,0
155,3.332569,-0.9704189,11,0
156,3.355563,-0.9649399,11,0
157,3.381457,-0.9592915,11,0
158,3.407946,-0.9555731,11,0
159,3.435477,-0.9476743,11,0
160,3.465405,-0.9358806,11,0
161,3.492622,-0.9255128,11,0
162,3.520481,-0.915023,11,0
163,3.549305,-0.9074828,11,0
164,3.573797,-0.904013,11,0
165,3.601198,-0.8983925,11,0
166,3.627627,-0.8886337,11,0
167,3.652231,-0.8841285,11,0
168,3.673025,-0.8773533,11,0
169,3.699399,-0.8669255,11,0
170,3.728105,-0.8586227,11,0
171,3.753036,-0.8470686,11,0
172,3.77612,-0.8366431,11,0
173,3.800601,-0.8264901,11,0
174,3.828765,-0.8173428,11,0
175,3.860216,-0.8134294,11,0
176,3.888729,-0.8077492,11,0
177,3.917827,-0.8051552,11,0
178,3.944839,-0.8002847,11,0
179,3.972895,-0.7975581,11,0
180,4.000937,-0.7958391,11,0
181,4.028717,-0.7949134,11,0
182,4.055463,-0.7920403,11,0
183,4.085034,-0.7907267,11,0
184,4.112581,-0.7909298,11,0
185,4.142534,-0.7931632,11,0
186,4.171651,-0.796316,11,0
187,4.200293,-0.7998686,11,0
188,4.229712,-0.8035486,11,0
189,4.25743,-0.804233,11,0
190,4.285728,-0.8055602,11,0
191,4.318207,-0.8059284,11,0
192,4.348015,-0.8066683,11,0
193,4.374011,-0.8059773,11,0
194,4.403006,-0.8056298,11,0
