Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,0,8.8,0
1,-0.008469757,0.001787284,8.8,0
2,-0.01178072,0.000863621,8.8,0
3,-0.01168998,0.0003860561,8.8,0
4,-0.009126755,0.001488612,8.8,0
5,-0.006382553,0.002363321,8.8,0
6,-0.00294238,0.0007873452,8.8,0
7,-0.003980555,-0.001235725,8.8,0
8,-0.0002415669,-0.001069489,8.8,0
9,0.007566107,-0.00169652,8.8,0
10,0.0102913,-0.0004162525,8.8,0
11,0.008152209,0.002964996,8.8,0
12,0.006097002,0.00720999,8.8,0
13,0.01004938,0.008694848,8.8,0
14,0.0118589,0.01081484,8.8,0
15,0.01617072,0.01266174,8.8,0
16,0.02286123,0.01671531,8.8,0
17,0.0313269,0.02255068,8.8,0
18,0.03791644,0.02639955,8.8,0
19,0.04498175,0.03090562,8.8,0
20,0.04842907,0.03305997,8.8,0
21,0.04842752,0.03349793,8.8,0
22,0.05505084,0.03712418,8.8,0
23,0.06667106,0.03906985,8.8,0
24,0.07540517,0.045511,8.8,0
25,0.08329277,0.04587311,8.8,0
26,0.09202423,0.04634461,8.8,0
27,0.1011785,0.04776988,8.8,0
28,0.1128002,0.04886957,8.8,0
29,0.1211235,0.04863689,8.8,0
30,0.1320159,0.04647856,8.8,0
31,0.1448089,0.0466427,8.8,0
32,0.1566284,0.04813692,8.8,0
33,0.1682744,0.04853596,8.8,0
34,0.1850697,0.04698027,8.8,0
35,0.2057274,0.04450059,8.8,0
36,0.2217278,0.040325,8.8,0
37,0.2378056,0.03255593,8.8,0
38,0.2537755,0.02287638,8.8,0
39,0.2732076,0.0136746,8.8,0
40,0.2906084,0.004225084,8.8,0
41,0.3060196,-0.006865101,8.8,0
42,0.3212302,-0.01574652,8.8,0
43,0.3381381,-0.02582912,8.8,0
44,0.3556832,-0.03715249,8.8,0
45,0.3778246,-0.04449514,8.8,0
46,0.4003033,-0.05333292,8.8,0
47,0.4249426,-0.05965031,8.8,0
48,0.4492168,-0.06958162,8.8,0
49,0.469004,-0.0781483,8.8,0
50,0.4886755,-0.0836428,8.8,0
51,0.5067487,-0.09058579,8.8,0
52,0.5228928,-0.0909428,8.8,0
53,0.5399089,-0.09271457,8.8,0
54,0.5621305,-0.09670505,8.8,0
55,0.580558,-0.09800366,8.8,0
56,0.6006851,-0.1024801,8.8,0
57,0.6206474,-0.1014232,8.8,0
58,0.6394019,-0.1039905,8.8,0
59,0.6599608,-0.107781,8.8,0
60,0.680936,-0.1136876,8.8,0
61,0.7027433,-0.1151139,8.8,0
62,0.7263801,-0.1169949,8.8,0
63,0.7523335,-0.1188787,8.8,0
64,0.7781827,-0.118112,8.8,0
65,0.8033519,-0.1155611,8.8,0
66,0.8273652,-0.112456,8.8,0
67,0.8559857,-0.1094907,8.8,0
68,0.8807625,-0.1060047,8.8,0
69,0.9021313,-0.1035404,8.8,0
70,0.9221159,-0.1028748,8.8,0
71,0.941216,-0.1011657,8.8,0
72,0.9641402,-0.09513071,8.8,0
73,0.9892724,-0.09213775,8.8,0
74,1.018537,-0.08868623,8.8,0
75,1.042097,-0.08259842,8.8,0
76,1.065596,-0.07464144,8.8,0
77,1.091921,-0.07150409,8.8,0
78,1.119053,-0.06739334,8.8,0
79,1.148367,-0.06174363,8.8,0
80,1.177689,-0.05955455,8.8,0
81,1.206849,-0.0605892,8.8,0
82,1.238842,-0.0598413,8.8,0
83,1.270115,-0.0631172,8.8,0
84,1.301418,-0.06710985,8.8,0
85,1.333476,-0.07088833,8.8,0
86,1.362123,-0.07184526,8.8,0
