Step,Hip_X,Hip_Z,Target_X,Target_Z
0,1.009226,-1.028984,11,0
1,1.011341,-1.028997,11,0
2,1.01318,-1.028935,11,0
3,1.014784,-1.028947,11,0
4,1.016037,-1.029019,11,0
5,1.017069,-1.028986,11,0
6,1.018224,-1.028976,11,0
7,1.019422,-1.028982,11,0
8,1.02024,-1.028997,11,0
9,1.021029,-1.02898,11,0
10,1.021395,-1.028983,11,0
11,1.021592,-1.028976,11,0
12,1.021746,-1.028981,11,0
13,1.021973,-1.028976,11,0
14,1.02233,-1.028976,11,0
15,1.023039,-1.029009,11,0
16,1.023873,-1.029013,11,0
17,1.024227,-1.028798,11,0
18,1.023907,-1.028955,11,0
19,1.022121,-1.029006,11,0
20,1.019784,-1.028982,11,0
21,1.017859,-1.02898,11,0
22,1.015796,-1.028982,11,0
23,1.013481,-1.028996,11,0
24,1.010536,-1.029005,11,0
25,1.007017,-1.029035,11,0
26,1.003286,-1.0289,11,0
27,1.000043,-1.028863,11,0
28,0.9973765,-1.029071,11,0
29,0.9948011,-1.028978,11,0
30,0.9931243,-1.029006,11,0
31,0.9918843,-1.028986,11,0
32,0.9904106,-1.028985,11,0
33,0.9891063,-1.028983,11,0
34,0.988106,-1.02899,11,0
35,0.9875908,-1.028975,11,0
36,0.987893,-1.028982,11,0
37,0.9882848,-1.02897,11,0
38,0.9885519,-1.02898,11,0
39,0.9884875,-1.028974,11,0
40,0.9880402,-1.028975,11,0
41,0.9867672,-1.028987,11,0
42,0.9852293,-1.028984,11,0
43,0.9851926,-1.028994,11,0
44,0.9861206,-1.028982,11,0
45,0.9876638,-1.028973,11,0
46,0.9894906,-1.028981,11,0
47,0.9911203,-1.028987,11,0
48,0.9932278,-1.028981,11,0
49,0.9961503,-1.028985,11,0
50,0.9992803,-1.028982,11,0
51,1.002521,-1.02899,11,0
52,1.005669,-1.028974,11,0
53,1.00789,-1.02898,11,0
54,1.009839,-1.028992,11,0
55,1.011938,-1.028989,11,0
56,1.013677,-1.028916,11,0
57,1.015205,-1.028982,11,0
58,1.016342,-1.029013,11,0
59,1.017403,-1.028979,11,0
60,1.018578,-1.02898,11,0
61,1.019633,-1.028989,11,0
62,1.020507,-1.028994,11,0
63,1.021178,-1.028978,11,0
64,1.021453,-1.028985,11,0
65,1.02164,-1.028976,11,0
66,1.021801,-1.028982,11,0
