Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,0,8.8,0
1,-0.007804272,0.00329554,8.8,0
2,-0.01046297,0.006062458,8.8,0
3,-0.01173075,0.01010252,8.8,0
4,-0.01288427,0.01263699,8.8,0
5,-0.01298585,0.01174582,8.8,0
6,-0.0117864,0.01144116,8.8,0
7,-0.01197973,0.01222554,8.8,0
8,-0.01163853,0.01334239,8.8,0
9,-0.01132021,0.01564876,8.8,0
10,-0.008384947,0.01604858,8.8,0
11,-0.006919201,0.01761875,8.8,0
12,-0.004218431,0.01878078,8.8,0
13,0.0001096721,0.01674969,8.8,0
14,0.003130339,0.01570295,8.8,0
15,0.00662555,0.01362332,8.8,0
16,0.01388789,0.007190064,8.8,0
17,0.02242247,0.0003776993,8.8,0
18,0.03003728,-0.007533134,8.8,0
19,0.03825894,-0.01406191,8.8,0
20,0.0476236,-0.02317638,8.8,0
21,0.05801051,-0.0350383,8.8,0
22,0.06922067,-0.05006301,8.8,0
23,0.08156823,-0.06561901,8.8,0
24,0.09198169,-0.08073791,8.8,0
25,0.1012008,-0.09191711,8.8,0
26,0.1087978,-0.1043201,8.8,0
27,0.1167754,-0.1179391,8.8,0
28,0.1275754,-0.13252,8.8,0
29,0.1372142,-0.1464649,8.8,0
30,0.1479899,-0.1602203,8.8,0
31,0.1589392,-0.1716611,8.8,0
32,0.1689288,-0.1837118,8.8,0
33,0.1812852,-0.1948204,8.8,0
34,0.1993538,-0.2057482,8.8,0
35,0.2126666,-0.2173068,8.8,0
36,0.2265357,-0.2285226,8.8,0
37,0.2413145,-0.2347182,8.8,0
38,0.2549156,-0.2400528,8.8,0
39,0.2699758,-0.2470567,8.8,0
40,0.2859426,-0.2528675,8.8,0
41,0.3024846,-0.2571447,8.8,0
42,0.3180039,-0.2622212,8.8,0
43,0.3353221,-0.2705646,8.8,0
44,0.3505544,-0.2797888,8.8,0
45,0.3655474,-0.2868833,8.8,0
46,0.3824759,-0.2928348,8.8,0
47,0.4041648,-0.2995926,8.8,0
48,0.4277411,-0.3059624,8.8,0
49,0.4509396,-0.3130456,8.8,0
50,0.4744079,-0.3184642,8.8,0
51,0.501363,-0.3249744,8.8,0
52,0.5295029,-0.3311045,8.8,0
53,0.5554525,-0.337239,8.8,0
54,0.579344,-0.342141,8.8,0
55,0.6044481,-0.3476107,8.8,0
56,0.6309529,-0.3518493,8.8,0
57,0.6578401,-0.3563305,8.8,0
58,0.6841361,-0.3614867,8.8,0
59,0.7088566,-0.366937,8.8,0
60,0.7332978,-0.3720507,8.8,0
61,0.7588525,-0.3754222,8.8,0
62,0.7857308,-0.3789781,8.8,0
63,0.8119201,-0.3845441,8.8,0
64,0.8355386,-0.3893881,8.8,0
65,0.8620538,-0.3950053,8.8,0
66,0.8900734,-0.4012253,8.8,0
67,0.9170263,-0.409486,8.8,0
68,0.9411641,-0.4187212,8.8,0
69,0.9681067,-0.4295797,8.8,0
70,0.9979618,-0.4409134,8.8,0
71,1.029758,-0.4531935,8.8,0
72,1.062735,-0.466168,8.8,0
73,1.092376,-0.4794298,8.8,0
74,1.116508,-0.4915988,8.8,0
75,1.141448,-0.5039785,8.8,0
76,1.17117,-0.5161846,8.8,0
77,1.200796,-0.5283613,8.8,0
78,1.22906,-0.5404274,8.8,0
79,1.254906,-0.5500966,8.8,0
80,1.282572,-0.5627964,8.8,0
81,1.308476,-0.5740885,8.8,0
82,1.332987,-0.5820258,8.8,0
83,1.358833,-0.5924867,8.8,0
84,1.379931,-0.5994225,8.8,0
85,1.399637,-0.6039459,8.8,0
86,1.423137,-0.6077894,8.8,0
87,1.447329,-0.612352,8.8,0
88,1.469312,-0.6171623,8.8,0
89,1.496247,-0.6237777,8.8,0
90,1.524331,-0.6288006,8.8,0
91,1.549957,-0.6302479,8.8,0
92,1.574268,-0.632045,8.8,0
93,1.596305,-0.6364389,8.8,0
94,1.617433,-0.6418125,8.8,0
95,1.639174,-0.6488607,8.8,0
96,1.663958,-0.6531879,8.8,0
97,1.68773,-0.6572068,8.8,0
98,1.711977,-0.6616643,8.8,0
99,1.736176,-0.6647803,8.8,0
100,1.765918,-0.6670988,8.8,0
101,1.795346,-0.6690844,8.8,0
102,1.825992,-0.6696871,8.8,0
103,1.854773,-0.6709234,8.8,0
104,1.884403,-0.6701843,8.8,0
105,1.91632,-0.670384,8.8,0
106,1.951015,-0.6712296,8.8,0
107,1.983501,-0.6749306,8.8,0
108,2.01181,-0.6749306,8.8,0
