Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,-1,11,0
1,-0.008092653,-0.9987681,11,0
2,-0.01252567,-0.9974611,11,0
3,-0.01073141,-0.9947122,11,0
4,-0.009574442,-0.9942923,11,0
5,-0.008420649,-0.9918982,11,0
6,-0.0074135,-0.9878829,11,0
7,-0.004504496,-0.9830572,11,0
8,-0.006034805,-0.9821074,11,0
9,-0.007126132,-0.9801482,11,0
10,-0.004183385,-0.9758785,11,0
11,-0.001128608,-0.97408,11,0
12,0.001407498,-0.9711457,11,0
13,0.004131943,-0.9686626,11,0
14,0.005101792,-0.9666423,11,0
15,0.006798307,-0.9641073,11,0
16,0.01158677,-0.9632669,11,0
17,0.01705852,-0.9608022,11,0
18,0.02427121,-0.9578239,11,0
19,0.03225347,-0.9532282,11,0
20,0.04035507,-0.9488414,11,0
21,0.0478734,-0.9455757,11,0
22,0.05871383,-0.9431717,11,0
23,0.07297345,-0.9424396,11,0
24,0.08678146,-0.9426957,11,0
25,0.1011441,-0.9434021,11,0
26,0.1197897,-0.9472052,11,0
27,0.13689,-0.9511859,11,0
28,0.1543491,-0.9579546,11,0
29,0.1699507,-0.964398,11,0
30,0.1858593,-0.9722331,11,0
31,0.2020182,-0.9812195,11,0
32,0.2158361,-0.9893057,11,0
33,0.2280196,-0.9976789,11,0
34,0.2425761,-1.008111,11,0
35,0.2598769,-1.018719,11,0
36,0.2792371,-1.0308,11,0
37,0.300706,-1.042721,11,0
38,0.32449,-1.054734,11,0
39,0.3449166,-1.06441,11,0
40,0.3652777,-1.071985,11,0
41,0.3857518,-1.078146,11,0
42,0.4037822,-1.084771,11,0
43,0.4193516,-1.092288,11,0
44,0.4360758,-1.098051,11,0
45,0.4533081,-1.101323,11,0
46,0.4740528,-1.103396,11,0
47,0.4931281,-1.104583,11,0
48,0.5095371,-1.105056,11,0
49,0.530012,-1.105103,11,0
50,0.548337,-1.105904,11,0
51,0.5652024,-1.10919,11,0
52,0.584108,-1.111214,11,0
53,0.6045819,-1.112602,11,0
54,0.626047,-1.115677,11,0
55,0.6463684,-1.117104,11,0
56,0.6672951,-1.118909,11,0
57,0.6891746,-1.120605,11,0
58,0.7127226,-1.120357,11,0
59,0.73672,-1.119422,11,0
60,0.7633039,-1.117295,11,0
61,0.7910779,-1.11285,11,0
62,0.8162019,-1.105665,11,0
63,0.843834,-1.099162,11,0
64,0.8723277,-1.09406,11,0
65,0.8991057,-1.089914,11,0
66,0.9250768,-1.086416,11,0
67,0.9469002,-1.082327,11,0
68,0.9681334,-1.078345,11,0
69,0.9915016,-1.076076,11,0
70,1.015576,-1.071169,11,0
71,1.043368,-1.069388,11,0
72,1.070192,-1.065431,11,0
73,1.096132,-1.062517,11,0
74,1.123416,-1.061111,11,0
75,1.151295,-1.058356,11,0
76,1.179144,-1.057046,11,0
77,1.204032,-1.057583,11,0
78,1.22912,-1.059852,11,0
79,1.256474,-1.060421,11,0
80,1.286488,-1.062855,11,0
81,1.316853,-1.068272,11,0
82,1.345206,-1.073814,11,0
83,1.372221,-1.079771,11,0
84,1.399498,-1.084864,11,0
85,1.425758,-1.091686,11,0
86,1.451807,-1.099035,11,0
87,1.479439,-1.106577,11,0
88,1.510386,-1.115749,11,0
89,1.54133,-1.124887,11,0
90,1.572838,-1.13314,11,0
91,1.602705,-1.140719,11,0
92,1.629499,-1.1479,11,0
93,1.651754,-1.154208,11,0
94,1.674789,-1.156886,11,0
95,1.698643,-1.158902,11,0
96,1.7195,-1.161188,11,0
97,1.738902,-1.162812,11,0
98,1.75644,-1.162223,11,0
99,1.784534,-1.165421,11,0
100,1.811113,-1.167421,11,0
101,1.836022,-1.167343,11,0
102,1.859461,-1.167098,11,0
103,1.882185,-1.165751,11,0
104,1.905389,-1.165832,11,0
105,1.930388,-1.165576,11,0
106,1.95191,-1.16667,11,0
107,1.972071,-1.167464,11,0
108,1.995768,-1.168106,11,0
109,2.021745,-1.16673,11,0
110,2.050174,-1.165099,11,0
111,2.0827,-1.16247,11,0
112,2.116067,-1.158661,11,0
113,2.148965,-1.154592,11,0
114,2.182783,-1.152701,11,0
115,2.214572,-1.149731,11,0
116,2.243897,-1.146994,11,0
117,2.271531,-1.144081,11,0
118,2.296149,-1.14029,11,0
119,2.319148,-1.135473,11,0
120,2.343924,-1.131062,11,0
121,2.37049,-1.128351,11,0
122,2.397657,-1.124892,11,0
123,2.421789,-1.122192,11,0
124,2.449368,-1.115737,11,0
125,2.479226,-1.110809,11,0
126,2.506527,-1.107327,11,0
127,2.536363,-1.104861,11,0
128,2.568299,-1.100988,11,0
129,2.597671,-1.098435,11,0
130,2.624397,-1.094763,11,0
131,2.65274,-1.092532,11,0
132,2.682492,-1.092255,11,0
133,2.71406,-1.092858,11,0
134,2.745268,-1.09182,11,0
135,2.772973,-1.092676,11,0
136,2.803609,-1.094505,11,0
137,2.835838,-1.095672,11,0
138,2.869947,-1.096746,11,0
139,2.902991,-1.099691,11,0
140,2.936572,-1.103396,11,0
141,2.969519,-1.107069,11,0
142,2.99984,-1.111539,11,0
143,3.028875,-1.114686,11,0
144,3.059195,-1.117555,11,0
145,3.086529,-1.120446,11,0
146,3.111579,-1.12013,11,0
147,3.13609,-1.121392,11,0
148,3.159288,-1.124011,11,0
149,3.184033,-1.125508,11,0
150,3.204352,-1.125253,11,0
151,3.222906,-1.122499,11,0
152,3.243722,-1.118666,11,0
153,3.267248,-1.114839,11,0
154,3.293303,-1.111486,11,0
155,3.319264,-1.108872,11,0
