Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,-1,11,0
1,-0.008748802,-0.9981462,11,0
2,-0.01888138,-0.9977872,11,0
3,-0.02508327,-0.9982644,11,0
4,-0.02484546,-0.995868,11,0
5,-0.02313016,-0.9927863,11,0
6,-0.02396774,-0.9906506,11,0
7,-0.02030983,-0.991345,11,0
8,-0.01292336,-0.9899881,11,0
9,-0.00550272,-0.9928408,11,0
10,-0.005310874,-0.9939923,11,0
11,-0.006986681,-0.9974201,11,0
12,-0.002041935,-0.9987772,11,0
13,-0.0007947589,-1.003059,11,0
14,0.001385734,-1.006587,11,0
15,0.006906624,-1.009068,11,0
16,0.01587546,-1.014259,11,0
17,0.01922647,-1.016823,11,0
18,0.0278562,-1.022545,11,0
19,0.04084017,-1.030516,11,0
20,0.05076045,-1.035049,11,0
21,0.05660151,-1.040999,11,0
22,0.06558194,-1.049676,11,0
23,0.0742804,-1.056602,11,0
24,0.08567645,-1.059877,11,0
25,0.09121194,-1.062477,11,0
26,0.09939956,-1.066367,11,0
27,0.1096827,-1.066893,11,0
28,0.1211182,-1.069156,11,0
29,0.1328598,-1.073153,11,0
30,0.1418739,-1.076651,11,0
31,0.1468092,-1.07884,11,0
32,0.1592031,-1.079698,11,0
33,0.1709523,-1.082271,11,0
34,0.1785,-1.085801,11,0
35,0.1918881,-1.090503,11,0
36,0.2071563,-1.094107,11,0
37,0.2216107,-1.096915,11,0
38,0.2326258,-1.099421,11,0
39,0.2483695,-1.100998,11,0
40,0.2612103,-1.099978,11,0
41,0.276356,-1.101375,11,0
42,0.2940381,-1.100879,11,0
43,0.309595,-1.104739,11,0
44,0.3257247,-1.10553,11,0
45,0.3444696,-1.105953,11,0
46,0.3680251,-1.10718,11,0
47,0.3921145,-1.105255,11,0
48,0.4118998,-1.102869,11,0
49,0.4337124,-1.102021,11,0
50,0.4567711,-1.097047,11,0
51,0.4817235,-1.092971,11,0
52,0.5112306,-1.092978,11,0
53,0.5371591,-1.092884,11,0
54,0.5661495,-1.093542,11,0
55,0.5950122,-1.090199,11,0
56,0.6205907,-1.086718,11,0
57,0.6421251,-1.082084,11,0
58,0.6616947,-1.078178,11,0
59,0.6832479,-1.07277,11,0
