Step,Hip_X,Hip_Z,Target_X,Target_Z
0,1.012187,-1.028984,11,0
1,1.013896,-1.028914,11,0
2,1.015382,-1.028996,11,0
3,1.016478,-1.029008,11,0
4,1.017557,-1.028977,11,0
5,1.018739,-1.028982,11,0
6,1.01974,-1.028992,11,0
7,1.020622,-1.028992,11,0
8,1.021232,-1.028978,11,0
9,1.021477,-1.028984,11,0
10,1.02166,-1.028977,11,0
11,1.021831,-1.028982,11,0
12,1.022096,-1.028973,11,0
13,1.022574,-1.028982,11,0
14,1.023438,-1.029028,11,0
15,1.024053,-1.028949,11,0
16,1.024225,-1.028831,11,0
17,1.023326,-1.028999,11,0
18,1.021073,-1.028994,11,0
19,1.018942,-1.028981,11,0
20,1.017015,-1.028979,11,0
21,1.01484,-1.028988,11,0
22,1.012314,-1.028991,11,0
23,1.009075,-1.029081,11,0
24,1.005418,-1.028968,11,0
25,1.001777,-1.028806,11,0
26,0.9989034,-1.029002,11,0
27,0.9962088,-1.029037,11,0
28,0.9939634,-1.028995,11,0
29,0.9925931,-1.028999,11,0
30,0.9912698,-1.028984,11,0
31,0.9897936,-1.028987,11,0
32,0.9886515,-1.028984,11,0
33,0.9877877,-1.028989,11,0
34,0.9876504,-1.028975,11,0
35,0.988095,-1.028982,11,0
36,0.9884239,-1.028972,11,0
37,0.9885661,-1.028982,11,0
38,0.9883603,-1.028971,11,0
39,0.9876471,-1.028983,11,0
40,0.9860027,-1.028985,11,0
41,0.9850388,-1.028991,11,0
42,0.9855219,-1.028991,11,0
43,0.9866923,-1.028976,11,0
44,0.9884667,-1.028975,11,0
45,0.9901883,-1.028985,11,0
46,0.9919199,-1.028984,11,0
47,0.9944134,-1.028983,11,0
48,0.9975052,-1.028983,11,0
49,1.00066,-1.028985,11,0
50,1.003926,-1.028984,11,0
51,1.006764,-1.028971,11,0
52,1.008685,-1.02898,11,0
53,1.010759,-1.028999,11,0
54,1.012709,-1.028962,11,0
55,1.014369,-1.028924,11,0
56,1.015738,-1.029016,11,0
57,1.016779,-1.028996,11,0
58,1.017902,-1.028975,11,0
59,1.019095,-1.028985,11,0
60,1.019994,-1.028996,11,0
61,1.020854,-1.028986,11,0
62,1.021329,-1.028981,11,0
63,1.021538,-1.02898,11,0
64,1.021703,-1.028979,11,0
65,1.021905,-1.028979,11,0
66,1.022206,-1.028973,11,0
67,1.022797,-1.028994,11,0
68,1.023687,-1.029028,11,0
69,1.024155,-1.028879,11,0
70,1.024112,-1.028905,11,0
71,1.022743,-1.029008,11,0
72,1.02037,-1.028985,11,0
73,1.018379,-1.02898,11,0
74,1.016396,-1.02898,11,0
75,1.014153,-1.028993,11,0
76,1.011415,-1.02898,11,0
77,1.008017,-1.029094,11,0
78,1.004306,-1.028968,11,0
79,1.000837,-1.028807,11,0
80,0.9981204,-1.02906,11,0
81,0.9954451,-1.029,11,0
82,0.9934987,-1.029005,11,0
83,0.9922346,-1.028992,11,0
84,0.990823,-1.028984,11,0
85,0.989413,-1.028986,11,0
86,0.9883556,-1.028987,11,0
87,0.9876452,-1.028982,11,0
88,0.9877629,-1.028979,11,0
89,0.9881954,-1.028974,11,0
90,0.9885025,-1.028976,11,0
91,0.9885335,-1.028978,11,0
92,0.9882187,-1.028972,11,0
93,0.9872321,-1.028987,11,0
94,0.9855424,-1.028984,11,0
95,0.9850711,-1.028994,11,0
96,0.9858182,-1.028986,11,0
97,0.9871759,-1.028973,11,0
98,0.989013,-1.028978,11,0
99,0.990663,-1.028987,11,0
100,0.9925581,-1.028981,11,0
101,0.9953001,-1.028984,11,0
102,0.9984216,-1.028982,11,0
103,1.001624,-1.028988,11,0
104,1.004861,-1.028977,11,0
105,1.007385,-1.028974,11,0
106,1.009272,-1.028984,11,0
107,1.011389,-1.028997,11,0
108,1.013218,-1.028933,11,0
109,1.014818,-1.02895,11,0
110,1.016061,-1.029019,11,0
111,1.017093,-1.028985,11,0
112,1.018251,-1.028977,11,0
113,1.019437,-1.028982,11,0
114,1.020261,-1.028997,11,0
115,1.021042,-1.02898,11,0
116,1.0214,-1.028983,11,0
117,1.021596,-1.028976,11,0
118,1.021749,-1.028981,11,0
119,1.021978,-1.028976,11,0
120,1.022342,-1.028976,11,0
121,1.02306,-1.02901,11,0
122,1.023886,-1.029011,11,0
123,1.024231,-1.028791,11,0
124,1.023885,-1.028959,11,0
125,1.022067,-1.029006,11,0
126,1.019738,-1.028982,11,0
127,1.017816,-1.02898,11,0
128,1.015746,-1.028982,11,0
129,1.013423,-1.028996,11,0
130,1.010461,-1.029009,11,0
131,1.006933,-1.029026,11,0
132,1.003203,-1.028894,11,0
133,0.9999798,-1.028869,11,0
134,0.9973142,-1.029071,11,0
135,0.994751,-1.028978,11,0
136,0.9930949,-1.029006,11,0
137,0.9918537,-1.028986,11,0
138,0.9903768,-1.028986,11,0
139,0.9890819,-1.028982,11,0
140,0.9880866,-1.02899,11,0
141,0.9875898,-1.028974,11,0
142,0.9879043,-1.028982,11,0
143,0.9882923,-1.02897,11,0
144,0.9885547,-1.028981,11,0
145,0.9884827,-1.028974,11,0
146,0.988023,-1.028975,11,0
147,0.9867266,-1.028987,11,0
148,0.9852097,-1.028985,11,0
149,0.9852062,-1.028994,11,0
150,0.9861465,-1.028981,11,0
151,0.9877056,-1.028973,11,0
152,0.9895287,-1.028981,11,0
153,0.9911598,-1.028987,11,0
154,0.9932867,-1.028981,11,0
155,0.9962218,-1.028985,11,0
156,0.9993525,-1.028982,11,0
157,1.002596,-1.02899,11,0
158,1.005732,-1.028974,11,0
159,1.007931,-1.028981,11,0
160,1.009887,-1.028992,11,0
161,1.011982,-1.028988,11,0
162,1.013714,-1.028915,11,0
163,1.015236,-1.028985,11,0
164,1.016365,-1.029012,11,0
165,1.017429,-1.028978,11,0
166,1.018605,-1.028981,11,0
167,1.019651,-1.02899,11,0
168,1.020526,-1.028994,11,0
169,1.021187,-1.028978,11,0
170,1.021457,-1.028984,11,0
171,1.021643,-1.028976,11,0
172,1.021806,-1.028982,11,0
173,1.022061,-1.028974,11,0
174,1.022505,-1.02898,11,0
175,1.023336,-1.029024,11,0
176,1.024014,-1.02897,11,0
177,1.024243,-1.028798,11,0
178,1.02351,-1.028992,11,0
179,1.021345,-1.028998,11,0
180,1.019155,-1.028982,11,0
181,1.017238,-1.028979,11,0
182,1.01509,-1.028987,11,0
183,1.012631,-1.028994,11,0
184,1.009462,-1.029064,11,0
185,1.005837,-1.028928,11,0
186,1.002152,-1.028822,11,0
187,0.9991892,-1.028966,11,0
188,0.9965068,-1.02905,11,0
189,0.9941588,-1.028989,11,0
190,0.992727,-1.029002,11,0
191,0.9914343,-1.028984,11,0
192,0.9899473,-1.028986,11,0
193,0.9887671,-1.028983,11,0
194,0.9878591,-1.02899,11,0
195,0.987621,-1.028974,11,0
196,0.9880471,-1.028983,11,0
197,0.9883897,-1.028971,11,0
198,0.988571,-1.028982,11,0
199,0.9884011,-1.028972,11,0
200,0.9877661,-1.028981,11,0
201,0.9861955,-1.028986,11,0
202,0.9850574,-1.02899,11,0
203,0.9854234,-1.028992,11,0
204,0.9865276,-1.028977,11,0
205,0.9882581,-1.028975,11,0
206,0.9900112,-1.028984,11,0
207,0.9917008,-1.028985,11,0
208,0.9940936,-1.028982,11,0
209,0.9971561,-1.028984,11,0
210,1.0003,-1.028984,11,0
211,1.003566,-1.028987,11,0
212,1.006504,-1.028972,11,0
213,1.008472,-1.028981,11,0
214,1.01052,-1.028998,11,0
215,1.012515,-1.028972,11,0
216,1.014194,-1.028918,11,0
217,1.015609,-1.02901,11,0
218,1.016665,-1.029,11,0
219,1.017772,-1.028975,11,0
220,1.018961,-1.028984,11,0
221,1.019896,-1.028995,11,0
222,1.020772,-1.028988,11,0
223,1.021296,-1.02898,11,0
224,1.021513,-1.028982,-11,0
225,1.021686,-1.028978,-11,0
226,1.021878,-1.028981,-11,0
227,1.022162,-1.028973,-11,0
228,1.022707,-1.028989,-11,0
229,1.023598,-1.02903,-11,0
230,1.024118,-1.028907,-11,0
231,1.024166,-1.02888,-11,0
232,1.022976,-1.029006,-11,0
233,1.020628,-1.028988,-11,0
234,1.01859,-1.028981,-11,0
235,1.016633,-1.028979,-11,0
236,1.014416,-1.028991,-11,0
237,1.011762,-1.028984,-11,0
238,1.008419,-1.029097,-11,0
239,1.004725,-1.028982,-11,0
240,1.00118,-1.028799,-11,0
241,0.9984182,-1.029044,-11,0
242,0.9957255,-1.029014,-11,0
243,0.9936648,-1.029003,-11,0
244,0.9923706,-1.028994,-11,0
245,0.9909917,-1.028984,-11,0
246,0.9895505,-1.028986,-11,0
247,0.9884641,-1.028986,-11,0
248,0.9876898,-1.028985,-11,0
249,0.9877159,-1.028977,-11,0
250,0.9881617,-1.028977,-11,0
251,0.9884755,-1.028975,-11,0
252,0.9885473,-1.02898,-11,0
253,0.9882779,-1.028971,-11,0
254,0.9874021,-1.028986,-11,0
255,0.9857038,-1.028984,-11,0
