Step,Hip_X,Hip_Z,Target_X,Target_Z
0,-0.006005276,-0.9972623,11,0
1,-0.007241481,-0.9917143,11,0
2,-0.01151043,-0.9892257,11,0
3,-0.01446981,-0.9886534,11,0
4,-0.01360998,-0.990872,11,0
5,-0.01319555,-0.990844,11,0
6,-0.01393037,-0.990576,11,0
7,-0.01166226,-0.9897923,11,0
8,-0.009372192,-0.9922587,11,0
9,-0.006197171,-0.9963972,11,0
10,-0.003797488,-1.001334,11,0
11,-0.005158495,-1.005021,11,0
12,0.001793881,-1.007691,11,0
13,0.009025784,-1.011059,11,0
14,0.01677748,-1.014624,11,0
15,0.02859448,-1.020497,11,0
16,0.03948242,-1.022663,11,0
17,0.04814511,-1.028153,11,0
18,0.0588888,-1.03318,11,0
19,0.06444436,-1.038428,11,0
20,0.07293056,-1.044423,11,0
21,0.08322164,-1.048543,11,0
22,0.09422199,-1.052057,11,0
23,0.1044755,-1.053905,11,0
24,0.1190602,-1.054506,11,0
25,0.1321759,-1.059353,11,0
26,0.1415675,-1.061964,11,0
27,0.1513825,-1.061704,11,0
28,0.16082,-1.063132,11,0
29,0.1717153,-1.065032,11,0
30,0.1883234,-1.063205,11,0
31,0.2065476,-1.06281,11,0
32,0.2233579,-1.061336,11,0
33,0.2364887,-1.063375,11,0
34,0.2519372,-1.065546,11,0
35,0.2703732,-1.064962,11,0
36,0.289113,-1.062066,11,0
37,0.3025033,-1.060558,11,0
38,0.3247245,-1.055956,11,0
39,0.3480683,-1.05219,11,0
40,0.3700459,-1.051451,11,0
41,0.3943931,-1.047679,11,0
42,0.4174737,-1.042864,11,0
43,0.4408484,-1.039852,11,0
44,0.4670272,-1.037012,11,0
45,0.4956272,-1.034997,11,0
46,0.5193707,-1.033807,11,0
47,0.5381636,-1.028967,11,0
48,0.5602087,-1.020679,11,0
49,0.5842094,-1.013662,11,0
50,0.6100497,-1.009308,11,0
51,0.6377069,-1.004726,11,0
52,0.6693152,-1.003127,11,0
53,0.6959677,-1.001691,11,0
54,0.7232606,-0.9996291,11,0
55,0.7518344,-0.9975556,11,0
56,0.7822222,-0.9969997,11,0
57,0.8103012,-0.9961711,11,0
58,0.8393514,-0.9978803,11,0
59,0.8695816,-0.9994106,11,0
60,0.9020451,-1.001556,11,0
61,0.932591,-1.00474,11,0
62,0.9606617,-1.007316,11,0
63,0.9895681,-1.010555,11,0
64,1.019243,-1.013502,11,0
65,1.04592,-1.017961,11,0
66,1.074402,-1.023469,11,0
67,1.10295,-1.028976,11,0
68,1.136399,-1.033752,11,0
69,1.173306,-1.04079,11,0
70,1.205222,-1.0448,11,0
71,1.235951,-1.050469,11,0
72,1.2585,-1.055641,11,0
73,1.27555,-1.056176,11,0
74,1.29203,-1.056526,11,0
75,1.313128,-1.06014,11,0
76,1.331374,-1.060811,11,0
77,1.353216,-1.064091,11,0
78,1.37718,-1.067131,11,0
79,1.402168,-1.069884,11,0
80,1.426491,-1.070222,11,0
81,1.44698,-1.068086,11,0
82,1.469015,-1.064435,11,0
83,1.493153,-1.0621,11,0
84,1.520946,-1.056915,11,0
85,1.546059,-1.054768,11,0
86,1.569932,-1.052303,11,0
87,1.596684,-1.048844,11,0
88,1.624717,-1.044386,11,0
89,1.654517,-1.037979,11,0
90,1.683548,-1.033756,11,0
91,1.715646,-1.028386,11,0
92,1.749844,-1.02152,11,0
93,1.77755,-1.014739,11,0
94,1.811143,-1.005949,11,0
95,1.835316,-1.000207,11,0
96,1.862478,-0.9938972,11,0
97,1.885355,-0.988088,11,0
98,1.913071,-0.9806446,11,0
99,1.939253,-0.9721464,11,0
100,1.967357,-0.9640263,11,0
101,1.994056,-0.9517537,11,0
102,2.020785,-0.9434561,11,0
103,2.049785,-0.9380105,11,0
104,2.076082,-0.92695,11,0
105,2.099535,-0.9175544,11,0
106,2.124509,-0.9096229,11,0
107,2.151674,-0.9022827,11,0
108,2.179713,-0.8942044,11,0
109,2.205484,-0.8875841,11,0
110,2.23651,-0.8827062,11,0
111,2.264418,-0.8800616,11,0
112,2.29492,-0.8794163,11,0
113,2.328067,-0.880614,11,0
114,2.360194,-0.8814191,11,0
115,2.395598,-0.882404,11,0
116,2.427554,-0.8831043,11,0
117,2.462097,-0.8844289,11,0
118,2.497891,-0.8848435,11,0
119,2.534367,-0.886312,11,0
120,2.56773,-0.8868002,11,0
121,2.601581,-0.8877559,11,0
122,2.637841,-0.8883845,11,0
123,2.672729,-0.8884602,11,0
124,2.707979,-0.8880033,11,0
125,2.734687,-0.88648,11,0
126,2.768459,-0.8844664,11,0
127,2.796387,-0.8846401,11,0
128,2.821193,-0.8825453,11,0
129,2.846415,-0.8829359,11,0
130,2.869011,-0.8830519,11,0
131,2.888635,-0.8794186,11,0
132,2.912291,-0.8782153,11,0
133,2.93619,-0.8754139,11,0
134,2.968249,-0.8701844,11,0
135,2.996851,-0.8674226,11,0
136,3.018052,-0.8668482,11,0
137,3.040304,-0.8681286,11,0
138,3.061644,-0.8660038,11,0
139,3.086851,-0.8588347,11,0
140,3.114718,-0.8518713,11,0
141,3.144091,-0.8451875,11,0
142,3.172395,-0.8377991,11,0
143,3.196267,-0.8316063,11,0
144,3.221873,-0.8246889,11,0
145,3.249466,-0.81833,11,0
146,3.275867,-0.8104298,11,0
147,3.303109,-0.8038639,11,0
148,3.331116,-0.7983211,11,0
149,3.360683,-0.7926018,11,0
150,3.38656,-0.7865175,11,0
151,3.413317,-0.7776685,11,0
152,3.43603,-0.7717974,11,0
