Step,Hip_X,Hip_Z,Target_X,Target_Z
0,1.016156,-1.029018,11,0
1,1.017195,-1.028983,11,0
2,1.01836,-1.028978,11,0
3,1.019499,-1.028985,11,0
4,1.020344,-1.028997,11,0
5,1.021091,-1.028979,11,0
6,1.021418,-1.028984,11,0
7,1.021611,-1.028976,11,0
8,1.021765,-1.028982,11,0
9,1.022003,-1.028975,11,0
10,1.022389,-1.028977,11,0
11,1.023145,-1.029015,11,0
12,1.023934,-1.029001,11,0
13,1.024245,-1.028761,11,0
14,1.023788,-1.028971,11,0
15,1.021848,-1.029004,11,0
16,1.019556,-1.028982,11,0
17,1.017641,-1.028979,11,0
18,1.015545,-1.028983,11,0
19,1.013187,-1.028996,11,0
20,1.01016,-1.029025,11,0
21,1.006599,-1.028983,11,0
22,1.002873,-1.028868,11,0
23,0.999731,-1.028897,11,0
24,0.9970652,-1.029067,11,0
25,0.994557,-1.028977,11,0
26,0.9929793,-1.029005,11,0
27,0.9917285,-1.028985,11,0
28,0.9902424,-1.028986,11,0
29,0.9889845,-1.028982,11,0
30,0.9880117,-1.02899,11,0
31,0.9875912,-1.028974,11,0
32,0.9879494,-1.028983,11,0
33,0.9883228,-1.02897,11,0
34,0.988564,-1.028982,11,0
35,0.9884614,-1.028973,11,0
36,0.987951,-1.028977,11,0
37,0.9865633,-1.028987,11,0
38,0.9851429,-1.028986,11,0
39,0.9852651,-1.028994,11,0
40,0.9862537,-1.02898,11,0
41,0.9878739,-1.028973,11,0
42,0.9896795,-1.028982,11,0
43,0.9913202,-1.028986,11,0
44,0.993527,-1.028981,11,0
45,0.9965085,-1.028985,11,0
46,0.999642,-1.028982,11,0
47,1.002895,-1.02899,11,0
48,1.005981,-1.028973,11,0
49,1.008094,-1.028982,11,0
50,1.01008,-1.028995,11,0
51,1.012151,-1.028985,11,0
52,1.013863,-1.028914,11,0
53,1.015356,-1.028994,11,0
54,1.016457,-1.029009,11,0
55,1.017534,-1.028977,11,0
56,1.018714,-1.028982,11,0
57,1.019723,-1.028992,11,0
58,1.020605,-1.028993,11,0
59,1.021224,-1.028978,11,0
60,1.021474,-1.028984,11,0
61,1.021657,-1.028977,11,0
62,1.021827,-1.028982,11,0
63,1.02209,-1.028973,11,0
64,1.022561,-1.028982,11,0
65,1.023419,-1.029027,11,0
66,1.024046,-1.028953,11,0
67,1.024229,-1.028825,11,0
68,1.023361,-1.028998,11,0
69,1.021122,-1.028994,11,0
70,1.01898,-1.028981,11,0
71,1.017056,-1.028979,11,0
72,1.014886,-1.028988,11,0
73,1.012373,-1.028992,11,0
74,1.009146,-1.029078,11,0
75,1.005494,-1.028962,11,0
76,1.001844,-1.028808,11,0
77,0.9989557,-1.028996,11,0
78,0.9962628,-1.029039,11,0
79,0.9939981,-1.028994,11,0
80,0.9926174,-1.029,11,0
81,0.9913,-1.028984,11,0
82,0.9898213,-1.028987,11,0
83,0.9886724,-1.028984,11,0
84,0.9878,-1.028989,11,0
85,0.9876445,-1.028975,11,0
86,0.9880866,-1.028982,11,0
87,0.9884178,-1.028972,11,0
88,0.9885675,-1.028982,11,0
89,0.9883682,-1.028971,11,0
90,0.9876705,-1.028983,11,0
91,0.9860374,-1.028985,11,0
92,0.9850408,-1.028991,11,0
93,0.9855034,-1.028991,11,0
94,0.9866615,-1.028976,11,0
95,0.9884287,-1.028975,11,0
96,0.9901561,-1.028985,11,0
97,0.9918792,-1.028984,11,0
98,0.9943546,-1.028983,11,0
99,0.9974418,-1.028984,11,0
100,1.000594,-1.028985,11,0
101,1.003861,-1.028984,11,0
102,1.006718,-1.028971,11,0
103,1.008646,-1.02898,11,0
104,1.010716,-1.028999,11,0
105,1.012674,-1.028964,11,0
106,1.014337,-1.028922,11,0
107,1.015715,-1.029015,11,0
108,1.016758,-1.028997,11,0
109,1.017878,-1.028975,11,0
110,1.019071,-1.028985,11,0
111,1.019976,-1.028996,11,0
112,1.02084,-1.028986,11,0
113,1.021323,-1.02898,11,0
114,1.021533,-1.02898,11,0
115,1.021699,-1.028979,11,0
116,1.0219,-1.02898,11,0
117,1.022198,-1.028973,11,0
118,1.02278,-1.028993,11,0
119,1.023671,-1.029029,11,0
120,1.024148,-1.028884,11,0
121,1.024123,-1.028901,11,0
122,1.022787,-1.029008,11,0
123,1.020416,-1.028986,11,0
124,1.018418,-1.02898,11,0
125,1.016439,-1.02898,11,0
126,1.014202,-1.028993,11,0
127,1.011479,-1.02898,11,0
128,1.008091,-1.029095,11,0
129,1.004383,-1.028971,11,0
130,1.000899,-1.028805,11,0
131,0.998175,-1.029057,11,0
132,0.9954956,-1.029003,11,0
133,0.9935284,-1.029005,11,0
134,0.9922596,-1.028992,11,0
135,0.9908538,-1.028984,11,0
136,0.9894376,-1.028986,11,0
137,0.9883751,-1.028987,11,0
138,0.9876524,-1.028983,11,0
139,0.987754,-1.028979,11,0
140,0.9881891,-1.028975,11,0
141,0.9884979,-1.028976,11,0
142,0.9885362,-1.028978,11,0
143,0.9882301,-1.028972,11,0
144,0.9872642,-1.028987,11,0
145,0.9855706,-1.028984,11,0
146,0.9850653,-1.028994,11,0
147,0.9857965,-1.028986,11,0
148,0.987141,-1.028974,11,0
149,0.9889764,-1.028978,11,0
150,0.99063,-1.028987,11,0
151,0.9925116,-1.028982,11,0
152,0.995238,-1.028984,11,0
153,0.9983587,-1.028982,11,0
154,1.001558,-1.028988,11,0
155,1.004798,-1.028977,11,0
156,1.007345,-1.028974,11,0
157,1.009231,-1.028984,11,0
158,1.011346,-1.028997,11,0
159,1.013184,-1.028934,11,0
160,1.014788,-1.028948,11,0
161,1.01604,-1.029019,11,0
162,1.017071,-1.028986,11,0
163,1.018227,-1.028977,11,0
164,1.019423,-1.028982,11,0
165,1.020243,-1.028997,11,0
166,1.021031,-1.02898,11,0
167,1.021395,-1.028983,11,0
168,1.021592,-1.028976,11,0
169,1.021746,-1.028981,11,0
170,1.021973,-1.028976,11,0
171,1.022331,-1.028976,11,0
172,1.023042,-1.029009,11,0
173,1.023875,-1.029013,11,0
174,1.024227,-1.028798,11,0
175,1.023905,-1.028956,11,0
176,1.022115,-1.029006,11,0
177,1.019779,-1.028982,11,0
178,1.017855,-1.02898,11,0
179,1.01579,-1.028982,11,0
180,1.013475,-1.028996,11,0
181,1.010528,-1.029006,11,0
182,1.007008,-1.029034,11,0
183,1.003277,-1.028899,11,0
184,1.000036,-1.028863,11,0
185,0.9973697,-1.029071,11,0
186,0.9947956,-1.028978,11,0
187,0.9931211,-1.029006,11,0
188,0.991881,-1.028986,11,0
189,0.990407,-1.028986,11,0
190,0.9891036,-1.028983,11,0
191,0.9881039,-1.02899,11,0
192,0.9875906,-1.028975,11,0
193,0.9878943,-1.028982,11,0
194,0.9882855,-1.02897,11,0
195,0.9885522,-1.02898,11,0
196,0.9884869,-1.028975,11,0
197,0.9880384,-1.028975,11,0
198,0.9867628,-1.028987,11,0
199,0.985227,-1.028984,11,0
200,0.985194,-1.028994,11,0
201,0.9861234,-1.028982,11,0
202,0.9876683,-1.028973,11,0
203,0.9894948,-1.028981,11,0
204,0.9911247,-1.028987,11,0
205,0.9932342,-1.028981,11,0
206,0.9961581,-1.028985,11,0
207,0.9992881,-1.028982,11,0
208,1.002529,-1.02899,11,0
209,1.005675,-1.028974,11,0
210,1.007895,-1.02898,11,0
211,1.009844,-1.028992,11,0
212,1.011943,-1.028989,11,0
213,1.013681,-1.028916,11,0
214,1.015209,-1.028982,11,0
215,1.016345,-1.029013,11,0
216,1.017406,-1.028979,11,0
217,1.018581,-1.02898,11,0
218,1.019635,-1.028989,11,0
219,1.020509,-1.028994,11,0
220,1.021179,-1.028978,11,0
221,1.021453,-1.028985,11,0
222,1.02164,-1.028976,11,0
223,1.021802,-1.028982,11,0
224,1.022055,-1.028974,11,0
225,1.022493,-1.02898,-11,0
226,1.023318,-1.029023,-11,0
227,1.024007,-1.028974,-11,0
228,1.024245,-1.028791,-11,0
229,1.023541,-1.02899,-11,0
230,1.021395,-1.028998,-11,0
231,1.019194,-1.028982,-11,0
232,1.017278,-1.028979,-11,0
233,1.015136,-1.028986,-11,0
234,1.012687,-1.028994,-11,0
235,1.009532,-1.02906,-11,0
236,1.005914,-1.028918,-11,0
237,1.002221,-1.028825,-11,0
238,0.9992417,-1.028959,-11,0
239,0.9965616,-1.029052,-11,0
240,0.9941958,-1.028987,-11,0
241,0.9927515,-1.029002,-11,0
242,0.9914639,-1.028984,-11,0
243,0.9899759,-1.028986,-11,0
244,0.9887884,-1.028983,-11,0
245,0.987873,-1.02899,-11,0
246,0.9876165,-1.028974,-11,0
247,0.9880379,-1.028983,-11,0
248,0.9883833,-1.028971,-11,0
249,0.9885712,-1.028982,-11,0
250,0.9884079,-1.028972,-11,0
251,0.9877859,-1.028981,-11,0
252,0.9862314,-1.028986,-11,0
253,0.9850627,-1.028989,-11,0
254,0.9854063,-1.028992,-11,0
255,0.9864987,-1.028977,-11,0
256,0.98822,-1.028974,-11,0
257,0.9899787,-1.028984,-11,0
258,0.991662,-1.028985,-11,0
259,0.9940363,-1.028982,-11,0
260,0.9970924,-1.028984,-11,0
261,1.000235,-1.028984,-11,0
262,1.0035,-1.028987,-11,0
263,1.006455,-1.028972,-11,0
264,1.008433,-1.028982,-11,0
265,1.010476,-1.028998,-11,0
266,1.012479,-1.028974,-11,0
267,1.014162,-1.028917,-11,0
268,1.015585,-1.029009,-11,0
269,1.016644,-1.029001,-11,0
270,1.017748,-1.028975,-11,0
