Step,Hip_X,Hip_Z,Target_X,Target_Z
0,1.02138,-1.028983,11,0
1,1.02158,-1.028977,11,0
2,1.021734,-1.028981,11,0
3,1.021956,-1.028977,11,0
4,1.022297,-1.028975,11,0
5,1.022977,-1.029005,11,0
6,1.023832,-1.029019,11,0
7,1.024212,-1.02882,11,0
8,1.023968,-1.028944,11,0
9,1.02228,-1.029008,11,0
10,1.019921,-1.028982,11,0
11,1.017989,-1.02898,11,0
12,1.015944,-1.028981,11,0
13,1.013652,-1.028995,11,0
14,1.010757,-1.028995,11,0
15,1.007266,-1.029058,11,0
16,1.003536,-1.028919,11,0
17,1.000234,-1.028845,11,0
18,0.9975616,-1.029072,11,0
19,0.9949535,-1.028982,11,0
20,0.9932132,-1.029007,11,0
21,0.9919738,-1.028987,11,0
22,0.990512,-1.028985,11,0
23,0.9891789,-1.028983,11,0
24,0.988165,-1.028989,11,0
25,0.9875966,-1.028976,11,0
26,0.9878597,-1.028982,11,0
27,0.9882621,-1.028971,11,0
28,0.9885421,-1.02898,11,0
29,0.9885008,-1.028975,11,0
30,0.988089,-1.028974,11,0
31,0.9868866,-1.028987,11,0
32,0.9852939,-1.028984,11,0
33,0.9851552,-1.028995,11,0
34,0.9860441,-1.028983,11,0
35,0.9875403,-1.028973,11,0
36,0.9893757,-1.02898,11,0
37,0.9910045,-1.028987,11,0
38,0.9930552,-1.028981,11,0
39,0.9959381,-1.028985,11,0
40,0.9990662,-1.028982,11,0
41,1.002299,-1.02899,11,0
42,1.005475,-1.028975,11,0
43,1.007769,-1.028978,11,0
44,1.009697,-1.02899,11,0
45,1.011807,-1.028992,11,0
46,1.013564,-1.028919,11,0
47,1.015112,-1.028973,11,0
48,1.016274,-1.029015,11,0
49,1.017325,-1.02898,11,0
50,1.018497,-1.028979,11,0
51,1.019582,-1.028988,11,0
52,1.020447,-1.028996,11,0
53,1.021147,-1.028978,11,0
54,1.02144,-1.028985,11,0
55,1.02163,-1.028976,11,0
56,1.021788,-1.028982,11,0
57,1.022034,-1.028974,11,0
58,1.022452,-1.028979,11,0
59,1.023252,-1.02902,11,0
60,1.023983,-1.028985,11,0
61,1.02425,-1.028769,11,0
62,1.023643,-1.028984,11,0
63,1.021567,-1.029,11,0
64,1.019331,-1.028982,11,0
65,1.017417,-1.028979,11,0
66,1.015292,-1.028985,11,0
67,1.01288,-1.028995,11,0
68,1.009772,-1.029047,11,0
69,1.006177,-1.028913,11,0
70,1.002465,-1.02884,11,0
71,0.9994248,-1.028935,11,0
72,0.9967518,-1.029058,11,0
73,0.9943276,-1.028982,11,0
74,0.992837,-1.029004,11,0
75,0.9915656,-1.028984,11,0
76,0.9900757,-1.028986,11,0
77,0.9888624,-1.028983,11,0
78,0.9879231,-1.02899,11,0
79,0.9876037,-1.028973,11,0
80,0.9880051,-1.028983,11,0
81,0.9883608,-1.02897,11,0
82,0.9885704,-1.028982,11,0
83,0.98843,-1.028972,11,0
84,0.9878514,-1.028979,11,0
85,0.9863565,-1.028986,11,0
86,0.9850859,-1.028988,11,0
87,0.9853496,-1.028993,11,0
88,0.9864018,-1.028978,11,0
89,0.9880883,-1.028974,11,0
90,0.9898661,-1.028983,11,0
91,0.9915297,-1.028986,11,0
92,0.99384,-1.028982,11,0
93,0.9968712,-1.028984,11,0
94,1.00001,-1.028983,11,0
95,1.003271,-1.028989,11,0
96,1.00628,-1.028972,11,0
97,1.008302,-1.028983,11,0
98,1.010326,-1.028997,11,0
99,1.012356,-1.028979,11,0
100,1.014049,-1.028915,11,0
101,1.0155,-1.029004,11,0
102,1.016573,-1.029004,11,0
103,1.017667,-1.028976,11,0
104,1.018852,-1.028983,11,0
105,1.019819,-1.028994,11,0
106,1.0207,-1.028991,11,0
107,1.021266,-1.028979,11,0
108,1.021495,-1.028983,11,0
109,1.021673,-1.028977,11,0
110,1.021854,-1.028981,11,0
111,1.022129,-1.028973,11,0
112,1.022639,-1.028985,11,0
113,1.023521,-1.029029,11,0
114,1.024087,-1.028929,11,0
115,1.024199,-1.028857,11,0
116,1.023153,-1.029004,11,0
117,1.020844,-1.028991,11,0
118,1.018761,-1.028981,11,0
119,1.016821,-1.028979,11,0
120,1.014625,-1.02899,11,0
121,1.012036,-1.028988,11,0
122,1.008741,-1.029092,11,0
123,1.005064,-1.028982,11,0
124,1.001467,-1.028799,11,0
125,0.9986571,-1.029026,11,0
126,0.9959595,-1.029025,11,0
127,0.993807,-1.028999,11,0
128,0.9924796,-1.028997,11,0
129,0.9911283,-1.028984,11,0
130,0.9896672,-1.028986,11,0
131,0.9885548,-1.028985,11,0
132,0.9877341,-1.028987,11,0
133,0.9876817,-1.028976,11,0
134,0.9881315,-1.02898,11,0
