Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0,-1,11,0
1,-0.01156015,-1.001786,11,0
2,-0.01927514,-0.9993976,11,0
3,-0.02185344,-1.000489,11,0
4,-0.02535561,-0.9991335,11,0
5,-0.02297545,-0.9992447,11,0
6,-0.02245184,-0.9988185,11,0
7,-0.02160729,-0.9985148,11,0
8,-0.02303003,-0.9979035,11,0
9,-0.0175983,-0.9987586,11,0
10,-0.01021077,-0.999773,11,0
11,-0.004110265,-1.003556,11,0
12,0.003195793,-1.006866,11,0
13,0.01172315,-1.010693,11,0
14,0.02101182,-1.018448,11,0
15,0.02659058,-1.023474,11,0
16,0.03433503,-1.030023,11,0
17,0.040548,-1.0358,11,0
18,0.04643408,-1.038474,11,0
19,0.05327536,-1.044078,11,0
20,0.05923814,-1.049021,11,0
21,0.07127099,-1.056704,11,0
22,0.08186917,-1.062361,11,0
23,0.09413776,-1.067975,11,0
24,0.1030529,-1.073392,11,0
25,0.1148917,-1.071193,11,0
26,0.1259521,-1.073257,11,0
27,0.1382224,-1.075876,11,0
28,0.1455434,-1.077766,11,0
29,0.1522053,-1.081535,11,0
30,0.163194,-1.081373,11,0
31,0.1772049,-1.083856,11,0
32,0.1912356,-1.085495,11,0
33,0.2063612,-1.085515,11,0
34,0.2256057,-1.088262,11,0
35,0.2436101,-1.088993,11,0
36,0.256653,-1.087487,11,0
37,0.2730055,-1.084553,11,0
38,0.2856699,-1.084937,11,0
39,0.3082385,-1.084243,11,0
40,0.3377484,-1.08274,11,0
41,0.3540466,-1.082114,11,0
42,0.3748065,-1.081177,11,0
43,0.4007153,-1.077513,11,0
44,0.4250008,-1.077319,11,0
45,0.4549003,-1.076317,11,0
46,0.486829,-1.075852,11,0
47,0.5135085,-1.073161,11,0
48,0.541037,-1.068752,11,0
49,0.5667722,-1.063753,11,0
50,0.5911098,-1.061592,11,0
51,0.6133564,-1.05863,11,0
52,0.6379719,-1.051044,11,0
53,0.6573161,-1.047489,11,0
54,0.6804453,-1.041631,11,0
55,0.7072574,-1.040102,11,0
56,0.7343359,-1.037041,11,0
57,0.7632539,-1.034564,11,0
58,0.7935647,-1.032692,11,0
59,0.8226275,-1.029258,11,0
60,0.8491359,-1.026311,11,0
61,0.8761997,-1.026709,11,0
62,0.9027623,-1.028589,11,0
63,0.9343771,-1.030858,11,0
64,0.9663129,-1.034719,11,0
65,0.9985312,-1.038783,11,0
66,1.029724,-1.042617,11,0
67,1.06006,-1.044836,11,0
68,1.093086,-1.051373,11,0
69,1.124308,-1.058656,11,0
70,1.154376,-1.066044,11,0
71,1.182996,-1.070526,11,0
72,1.212669,-1.074776,11,0
73,1.243232,-1.081167,11,0
74,1.27317,-1.088751,11,0
75,1.304975,-1.09656,11,0
76,1.335408,-1.102999,11,0
77,1.361879,-1.105269,11,0
78,1.388054,-1.10622,11,0
79,1.407228,-1.105338,11,0
80,1.428123,-1.104469,11,0
81,1.453543,-1.106393,11,0
82,1.476225,-1.10435,11,0
83,1.498992,-1.102574,11,0
84,1.524516,-1.098303,11,0
85,1.547162,-1.098103,11,0
86,1.569431,-1.098217,11,0
87,1.592965,-1.09484,11,0
88,1.619996,-1.09396,11,0
89,1.642138,-1.093728,11,0
90,1.665527,-1.094026,11,0
91,1.693775,-1.090989,11,0
92,1.720524,-1.084151,11,0
93,1.744272,-1.079106,11,0
94,1.774456,-1.075224,11,0
95,1.803534,-1.069849,11,0
96,1.828305,-1.066046,11,0
97,1.857124,-1.058542,11,0
98,1.887648,-1.048781,11,0
99,1.917542,-1.04265,11,0
100,1.948992,-1.036456,11,0
101,1.975864,-1.029846,11,0
102,2.005643,-1.025501,11,0
103,2.030522,-1.019789,11,0
104,2.055592,-1.01222,11,0
105,2.07866,-1.004241,11,0
106,2.103643,-0.9952918,11,0
107,2.133134,-0.9884899,11,0
108,2.165145,-0.9803231,11,0
109,2.196972,-0.975536,11,0
110,2.226058,-0.9706571,11,0
111,2.252972,-0.9658457,11,0
112,2.27893,-0.9646123,11,0
113,2.30568,-0.9597742,11,0
114,2.336976,-0.954215,11,0
115,2.367406,-0.9501185,11,0
116,2.399762,-0.9477122,11,0
117,2.435361,-0.9481915,11,0
118,2.474333,-0.9506152,11,0
119,2.507945,-0.9521924,11,0
120,2.543722,-0.9546745,11,0
121,2.578338,-0.9556798,11,0
122,2.606621,-0.9571532,11,0
123,2.63571,-0.9610094,11,0
124,2.666447,-0.9653109,11,0
125,2.696745,-0.9677359,11,0
126,2.730234,-0.9668542,11,0
127,2.762855,-0.9667126,11,0
128,2.796172,-0.9677463,11,0
129,2.822152,-0.9726806,11,0
130,2.848469,-0.9760909,11,0
131,2.879718,-0.9784999,11,0
132,2.907101,-0.9806349,11,0
133,2.931878,-0.9809933,11,0
134,2.954084,-0.9824457,11,0
135,2.973099,-0.9821585,11,0
136,2.990931,-0.9814491,11,0
137,3.014169,-0.9794447,11,0
138,3.038761,-0.9805521,11,0
139,3.057591,-0.9803448,11,0
140,3.079803,-0.9766116,11,0
141,3.104877,-0.9747851,11,0
142,3.130047,-0.9748578,11,0
143,3.153809,-0.9704769,11,0
144,3.177623,-0.9644681,11,0
145,3.198942,-0.959722,11,0
146,3.224229,-0.9553584,11,0
147,3.250633,-0.9485567,11,0
148,3.276239,-0.9401982,11,0
149,3.301955,-0.9345317,11,0
150,3.332524,-0.9266725,11,0
151,3.36662,-0.9181601,11,0
152,3.405428,-0.9116243,11,0
153,3.436838,-0.9052532,11,0
154,3.468552,-0.8992635,11,0
155,3.496246,-0.8934706,11,0
156,3.523258,-0.883379,11,0
157,3.544901,-0.8770486,11,0
158,3.566036,-0.8705045,11,0
159,3.586819,-0.8610348,11,0
160,3.614095,-0.8523898,11,0
161,3.641171,-0.8481693,11,0
162,3.671607,-0.8420031,11,0
163,3.701437,-0.8337162,11,0
164,3.731152,-0.8278564,11,0
165,3.755656,-0.8234046,11,0
166,3.782751,-0.8216462,11,0
167,3.811665,-0.8188963,11,0
168,3.842381,-0.8159783,11,0
169,3.870532,-0.8103931,11,0
170,3.90244,-0.8057293,11,0
171,3.934506,-0.8043958,11,0
172,3.971709,-0.8043272,11,0
173,4.008202,-0.8036826,11,0
174,4.038994,-0.8033255,11,0
175,4.066956,-0.8021521,11,0
176,4.09829,-0.8011321,11,0
177,4.125544,-0.8021242,11,0
178,4.152845,-0.8046924,11,0
179,4.17893,-0.805589,11,0
180,4.202646,-0.808979,11,0
181,4.235122,-0.8122833,11,0
182,4.264346,-0.8135828,11,0
183,4.288083,-0.8105711,11,0
184,4.317079,-0.807641,11,0
185,4.342318,-0.8068245,11,0
186,4.365241,-0.8065632,11,0
187,4.386956,-0.8044828,11,0
188,4.408701,-0.8027598,11,0
189,4.428715,-0.799495,11,0
190,4.455153,-0.7949848,11,0
191,4.482754,-0.7904695,11,0
192,4.507607,-0.7879568,11,0
193,4.530709,-0.7846746,11,0
194,4.556849,-0.7777011,11,0
195,4.57723,-0.7692394,11,0
196,4.596515,-0.7631752,11,0
197,4.617635,-0.7589933,11,0
198,4.640778,-0.7537882,11,0
199,4.665054,-0.7489066,11,0
200,4.691482,-0.7413412,11,0
201,4.717935,-0.7327088,11,0
202,4.745387,-0.7237987,11,0
203,4.77334,-0.7161229,11,0
204,4.801972,-0.7068091,11,0
205,4.83062,-0.6975045,11,0
206,4.856979,-0.6903739,11,0
207,4.880973,-0.6829176,11,0
208,4.905761,-0.6742573,11,0
209,4.929573,-0.6632296,11,0
210,4.952411,-0.6514069,11,0
211,4.971463,-0.643855,11,0
212,4.994063,-0.6349426,11,0
213,5.023311,-0.6239697,11,0
214,5.050305,-0.6124032,11,0
215,5.074465,-0.6039258,11,0
216,5.099969,-0.595558,11,0
217,5.126663,-0.5883478,11,0
218,5.15139,-0.5803891,11,0
219,5.174582,-0.5746865,11,0
220,5.198729,-0.5716437,11,0
221,5.223257,-0.5718073,11,0
222,5.24654,-0.5691061,11,0
223,5.275802,-0.5663779,11,0
224,5.303918,-0.5650892,11,0
225,5.332964,-0.5638384,11,0
226,5.365716,-0.5634703,11,0
227,5.394895,-0.5619479,11,0
228,5.427505,-0.5621282,11,0
229,5.457302,-0.5640646,11,0
230,5.483805,-0.568931,11,0
231,5.510723,-0.5741267,11,0
232,5.535553,-0.5798765,11,0
233,5.565028,-0.5835596,11,0
234,5.595386,-0.584974,11,0
235,5.625535,-0.5887483,11,0
236,5.652889,-0.5913435,11,0
237,5.684659,-0.5967709,11,0
238,5.715959,-0.6016089,11,0
239,5.743097,-0.6016735,11,0
240,5.771648,-0.6031922,11,0
241,5.790041,-0.6033052,11,0
242,5.804482,-0.6017535,11,0
243,5.822751,-0.6011308,11,0
244,5.845063,-0.6022767,11,0
245,5.872202,-0.6014988,11,0
246,5.897001,-0.5989994,11,0
247,5.918242,-0.5965464,11,0
248,5.941388,-0.5938067,11,0
249,5.96643,-0.586971,11,0
250,5.990501,-0.5835732,11,0
251,6.012156,-0.5834643,11,0
252,6.035904,-0.5802495,11,0
253,6.060013,-0.5772349,11,0
254,6.085433,-0.5717666,11,0
255,6.115059,-0.5644543,11,0
256,6.145431,-0.5563159,11,0
257,6.170043,-0.550295,11,0
258,6.195817,-0.5435015,11,0
259,6.224238,-0.5360626,11,0
260,6.248605,-0.5312408,11,0
261,6.27537,-0.5265188,11,0
262,6.304947,-0.5201659,11,0
263,6.335735,-0.5111106,-11,0
264,6.359435,-0.5002142,-11,0
265,6.382805,-0.4909352,-11,0
266,6.409677,-0.482015,-11,0
267,6.43329,-0.4720821,-11,0
268,6.458014,-0.46372,-11,0
269,6.476669,-0.4556317,-11,0
270,6.4939,-0.4510216,-11,0
271,6.516077,-0.4472547,-11,0
272,6.539557,-0.4415969,-11,0
273,6.563783,-0.4372289,-11,0
274,6.592454,-0.4341179,-11,0
275,6.625413,-0.4266187,-11,0
276,6.659354,-0.4182339,-11,0
277,6.691388,-0.4078096,-11,0
278,6.722532,-0.3986881,-11,0
279,6.756549,-0.3895416,-11,0
280,6.78824,-0.3816597,-11,0
281,6.822073,-0.3721672,-11,0
282,6.859481,-0.3592691,-11,0
283,6.901864,-0.337437,-11,0
284,6.939648,-0.3135171,-11,0
285,6.973408,-0.2898505,-11,0
286,7.00264,-0.2712474,-11,0
287,7.030049,-0.2543494,-11,0
288,7.048807,-0.2403978,-11,0
289,7.061205,-0.224815,-11,0
290,7.066301,-0.2161448,-11,0
291,7.065817,-0.2071332,-11,0
292,7.060529,-0.2024466,-11,0
293,7.053792,-0.200272,-11,0
294,7.042142,-0.2097991,-11,0
295,7.036073,-0.2223766,-11,0
296,7.037383,-0.2363836,-11,0
297,7.047325,-0.2524236,-11,0
298,7.063956,-0.269117,-11,0
299,7.084272,-0.2866889,-11,0
300,7.109269,-0.3033262,-11,0
301,7.139796,-0.3165246,-11,0
302,7.175687,-0.3302156,-11,0
303,7.217522,-0.3448666,-11,0
304,7.260597,-0.3561258,-11,0
