Step,Hip_X,Hip_Z,Target_X,Target_Z
0,0.9999021,-1.028983,11,0
1,1.003161,-1.028989,11,0
2,1.006195,-1.028972,11,0
3,1.008241,-1.028983,11,0
4,1.010254,-1.028996,11,0
5,1.012296,-1.028981,11,0
6,1.013995,-1.028914,11,0
7,1.015459,-1.029002,11,0
8,1.016539,-1.029006,11,0
9,1.017628,-1.028976,11,0
10,1.018812,-1.028983,11,0
11,1.019791,-1.028993,11,0
12,1.020673,-1.028991,11,0
13,1.021254,-1.028979,11,0
14,1.021489,-1.028984,11,0
15,1.021668,-1.028977,11,0
16,1.021846,-1.028982,11,0
17,1.022117,-1.028973,11,0
18,1.022615,-1.028984,11,0
19,1.023492,-1.029029,11,0
20,1.024075,-1.028936,11,0
21,1.024209,-1.028848,11,0
22,1.023216,-1.029002,11,0
23,1.020924,-1.028992,11,0
24,1.018825,-1.028981,11,0
25,1.01689,-1.028979,11,0
26,1.014701,-1.02899,11,0
27,1.012136,-1.028989,11,0
28,1.00886,-1.029088,11,0
29,1.005189,-1.028979,11,0
30,1.001576,-1.028801,11,0
31,0.9987447,-1.029018,11,0
32,0.9960473,-1.029029,11,0
33,0.9938614,-1.028998,11,0
34,0.9925199,-1.028997,11,0
35,0.9911785,-1.028983,11,0
36,0.9897115,-1.028986,11,0
37,0.9885889,-1.028985,11,0
38,0.9877523,-1.028988,11,0
39,0.9876701,-1.028975,11,0
40,0.9881191,-1.028981,11,0
41,0.9884418,-1.028973,11,0
42,0.9885606,-1.028981,11,0
43,0.9883351,-1.028971,11,0
44,0.9875721,-1.028984,11,0
45,0.9859005,-1.028985,11,0
46,0.985036,-1.028992,11,0
47,0.9855794,-1.02899,11,0
48,0.9867871,-1.028975,11,0
49,0.9885808,-1.028976,11,0
50,0.9902855,-1.028986,11,0
51,0.9920446,-1.028983,11,0
52,0.9945925,-1.028983,11,0
53,0.9976956,-1.028983,11,0
54,1.000858,-1.028986,11,0
55,1.004122,-1.028981,11,0
56,1.0069,-1.028972,11,0
57,1.008804,-1.02898,11,0
58,1.010891,-1.028999,11,0
59,1.012815,-1.028955,11,0
60,1.014464,-1.028928,11,0
61,1.015807,-1.029017,11,0
62,1.016842,-1.028993,11,0
63,1.017974,-1.028975,11,0
64,1.019168,-1.028985,11,0
65,1.020048,-1.028997,11,0
66,1.020897,-1.028984,11,0
67,1.021345,-1.028981,11,0
68,1.021551,-1.028979,11,0
69,1.021712,-1.02898,11,0
70,1.02192,-1.028979,11,0
71,1.022232,-1.028974,11,0
72,1.022849,-1.028997,11,0
73,1.023733,-1.029026,11,0
74,1.024173,-1.028862,11,0
75,1.024075,-1.028918,11,0
76,1.02261,-1.029009,11,0
77,1.020233,-1.028984,11,0
78,1.018264,-1.02898,11,0
79,1.016263,-1.02898,11,0
80,1.014007,-1.028994,11,0
81,1.011222,-1.028981,11,0
82,1.007795,-1.029088,11,0
83,1.004077,-1.028956,11,0
84,1.000654,-1.028815,11,0
85,0.9979555,-1.029065,11,0
86,0.9952952,-1.028994,11,0
87,0.9934113,-1.029006,11,0
88,0.9921587,-1.02899,11,0
89,0.9907304,-1.028985,11,0
90,0.9893407,-1.028985,11,0
91,0.9882973,-1.028988,11,0
92,0.9876258,-1.02898,11,0
93,0.9877906,-1.02898,11,0
94,0.9882148,-1.028973,11,0
95,0.9885158,-1.028977,11,0
96,0.9885249,-1.028977,11,0
97,0.9881831,-1.028973,11,0
98,0.9871331,-1.028987,11,0
99,0.9854613,-1.028984,11,0
100,0.9850913,-1.028994,11,0
101,0.9858839,-1.028985,11,0
102,0.987282,-1.028973,11,0
103,0.9891226,-1.028979,11,0
104,0.9907628,-1.028987,11,0
105,0.9927012,-1.028981,11,0
106,0.9954879,-1.028985,11,0
107,0.9986119,-1.028982,11,0
108,1.001824,-1.028989,11,0
109,1.005047,-1.028976,11,0
110,1.007502,-1.028975,11,0
111,1.009397,-1.028986,11,0
112,1.011515,-1.028996,11,0
113,1.013322,-1.028928,11,0
114,1.014907,-1.028956,11,0
115,1.016125,-1.029018,11,0
116,1.017161,-1.028983,11,0
117,1.018324,-1.028977,11,0
118,1.019478,-1.028984,11,0
119,1.020317,-1.028997,11,0
120,1.021075,-1.028979,11,0
121,1.021412,-1.028984,11,0
122,1.021606,-1.028976,11,0
123,1.02176,-1.028982,11,0
124,1.021994,-1.028975,11,0
125,1.022373,-1.028977,11,0
126,1.023117,-1.029013,11,0
127,1.023919,-1.029005,11,0
128,1.024241,-1.028771,11,0
129,1.023822,-1.028967,11,0
130,1.02192,-1.029005,11,0
131,1.019616,-1.028982,11,0
132,1.017698,-1.028979,11,0
133,1.015611,-1.028983,11,0
134,1.013265,-1.028996,11,0
135,1.010259,-1.02902,11,0
136,1.006709,-1.028999,11,0
137,1.00298,-1.028877,11,0
138,0.9998121,-1.028887,11,0
139,0.997147,-1.029068,11,0
140,0.9946195,-1.028977,11,0
141,0.9930169,-1.029006,11,0
142,0.99177,-1.028985,11,0
143,0.9902863,-1.028986,11,0
144,0.9890165,-1.028982,11,0
145,0.9880357,-1.02899,11,0
146,0.9875899,-1.028974,11,0
147,0.9879346,-1.028983,11,0
148,0.9883128,-1.02897,11,0
149,0.9885613,-1.028981,11,0
150,0.9884687,-1.028973,11,0
151,0.9879754,-1.028976,11,0
152,0.9866171,-1.028987,11,0
153,0.9851627,-1.028985,11,0
154,0.9852449,-1.028994,11,0
155,0.9862175,-1.02898,11,0
156,0.9878184,-1.028973,11,0
157,0.9896303,-1.028982,11,0
158,0.9912669,-1.028987,11,0
159,0.9934473,-1.028981,11,0
160,0.9964142,-1.028985,11,0
161,0.9995468,-1.028982,11,0
162,1.002797,-1.02899,11,0
163,1.0059,-1.028973,11,0
164,1.00804,-1.028982,11,0
165,1.010016,-1.028994,11,0
166,1.012096,-1.028986,11,0
167,1.013814,-1.028914,11,0
168,1.015317,-1.028991,11,0
169,1.016427,-1.02901,11,0
170,1.017499,-1.028977,11,0
171,1.018678,-1.028981,11,0
172,1.019699,-1.028991,11,0
173,1.020579,-1.028993,11,0
174,1.021213,-1.028978,11,0
175,1.021468,-1.028984,11,0
176,1.021652,-1.028976,11,0
177,1.02182,-1.028982,11,0
178,1.02208,-1.028973,11,0
179,1.022543,-1.028981,11,0
180,1.023392,-1.029026,11,0
181,1.024035,-1.028959,11,0
182,1.024234,-1.028816,11,0
183,1.023412,-1.028996,11,0
184,1.021195,-1.028995,11,0
185,1.019038,-1.028981,11,0
186,1.017116,-1.028979,11,0
187,1.014953,-1.028988,11,0
188,1.012458,-1.028993,11,0
189,1.00925,-1.029074,11,0
190,1.005606,-1.028953,11,0
191,1.001944,-1.028812,11,0
192,0.9990324,-1.028986,11,0
193,0.9963427,-1.029043,11,0
194,0.99405,-1.028992,11,0
195,0.9926534,-1.029,11,0
196,0.9913443,-1.028984,11,0
197,0.9898623,-1.028987,11,0
198,0.9887034,-1.028983,11,0
199,0.9878188,-1.028989,11,0
200,0.9876361,-1.028974,11,0
